episode,reward,rolling_reward_50,epsilon,mean_loss,acceptance_rate,action_0,action_1,action_2,action_3,action_4
199,179.4134085247121,210.61500421939738,0.05000000000000001,0.1155401576931278,0.5833333333333334,0,0,8,4,0
200,113.1694320994901,209.0814781549828,0.05000000000000001,0.1065024621784687,0.25,0,0,11,0,1
201,71.78809347413436,206.30682726307458,0.05000000000000001,0.12990731373429298,0.16666666666666666,0,0,12,0,0
202,96.68132263886332,204.9669195577797,0.05000000000000001,0.1204794142395258,0.25,11,0,1,0,0
203,191.06526378734958,204.06438439657853,0.05000000000000001,0.11170757065216701,0.5,12,0,0,0,0
204,111.4410670617306,202.97819957011237,0.05000000000000001,0.12180878904958566,0.4166666666666667,1,0,11,0,0
205,61.43776539462871,199.05425826155616,0.05000000000000001,0.08598890093465646,0.25,1,0,11,0,0
206,110.38801758818326,196.83771001215734,0.05000000000000001,0.08742818236351013,0.3333333333333333,7,0,0,0,5
207,224.3319647497299,197.7124268532292,0.05000000000000001,0.08864631534864505,0.6666666666666666,0,0,1,11,0
208,163.77025325826995,194.98316487397366,0.05000000000000001,0.09410061392312248,0.3333333333333333,0,0,3,3,6
209,94.37177161387615,195.1255072648181,0.05000000000000001,0.1248764842748642,0.25,0,1,6,1,4
210,283.7563219740918,197.74178640809976,0.05000000000000001,0.10489726687471072,0.8333333333333334,0,0,1,11,0
211,66.16362044770148,192.65693807643848,0.05000000000000001,0.09229911646495263,0.25,9,0,0,3,0
212,272.60293328044935,195.0023309170952,0.05000000000000001,0.09065424619863431,0.5,8,3,1,0,0
213,155.7960536239578,192.91674202838675,0.05000000000000001,0.10281975163767736,0.6666666666666666,2,0,10,0,0
214,128.32887432555918,191.62426396810028,0.05000000000000001,0.12870919269820055,0.4166666666666667,0,0,4,0,8
215,265.80220367624634,190.6637600380728,0.05000000000000001,0.07888888179635008,0.6666666666666666,0,1,0,4,7
216,157.83969615996003,189.52667256561398,0.05000000000000001,0.08009367901831865,0.4166666666666667,6,0,2,3,1
217,153.97359280752895,189.8624119419309,0.05000000000000001,0.08779300221552451,0.4166666666666667,0,0,11,0,1
218,201.64432661008243,189.74683233656916,0.05000000000000001,0.10697284154593945,0.6666666666666666,0,1,4,6,1
219,246.92936270603823,189.66680759209532,0.05000000000000001,0.110806779935956,0.5,3,0,4,5,0
220,354.7465670243898,194.18724696634115,0.05000000000000001,0.10629888158291578,0.8333333333333334,0,4,0,8,0
221,384.9462973546552,196.58917395044634,0.05000000000000001,0.07247633983691533,0.75,1,0,0,11,0
222,257.3334920961049,198.7815896620605,0.05000000000000001,0.10084279906004667,0.5833333333333334,2,1,7,2,0
223,259.660493438724,199.10873590659511,0.05000000000000001,0.11840332609911759,0.75,3,0,0,9,0
224,161.98505967564063,196.44750520724705,0.05000000000000001,0.1033761737247308,0.5,1,0,0,11,0
225,188.33109931852766,198.0463711056579,0.05000000000000001,0.08842411000902455,0.6666666666666666,0,1,0,11,0
226,414.1970420692575,203.68551415829083,0.05000000000000001,0.1039934108654658,1.0,0,0,0,12,0
227,361.1777481124864,207.3675673271034,0.05000000000000001,0.1264602616429329,0.6666666666666666,0,7,4,1,0
228,246.154014181418,208.969554956833,0.05000000000000001,0.12972099799662828,0.5833333333333334,0,4,3,5,0
229,47.23907214328522,203.75736591408193,0.05000000000000001,0.11267866908262174,0.08333333333333333,0,7,0,5,0
230,272.087235467422,206.2201867185726,0.05000000000000001,0.1031385933359464,0.6666666666666666,3,0,1,5,3
231,160.06585870198933,205.68148337628904,0.05000000000000001,0.1178141354272763,0.75,1,0,0,11,0
232,254.1567822846221,205.81431853250433,0.05000000000000001,0.10345640281836192,0.6666666666666666,0,1,2,9,0
233,220.6661268256941,203.72191752028183,0.05000000000000001,0.0843221905330817,0.5833333333333334,10,0,1,1,0
234,124.29445951937355,205.28766577592614,0.05000000000000001,0.10006682535943885,0.3333333333333333,1,6,0,5,0
235,167.16749706478976,202.7200995724205,0.05000000000000001,0.10823805071413517,0.9166666666666666,0,0,0,12,0
236,187.26255995559407,202.70631522676496,0.05000000000000001,0.07357843810071547,0.9166666666666666,0,0,2,10,0
237,102.3790986499337,199.99171304822076,0.05000000000000001,0.11603570046524207,0.3333333333333333,0,1,11,0,0
238,187.99551473917322,202.19148200655596,0.05000000000000001,0.10498658381402493,0.5833333333333334,0,0,11,1,0
239,346.2543140696468,202.55633013565915,0.05000000000000001,0.1016190576677521,0.9166666666666666,0,1,4,7,0
240,140.68081027947076,202.3055453526702,0.05000000000000001,0.10172706097364426,0.4166666666666667,3,0,1,8,0
241,133.51462612003118,199.97974677444546,0.05000000000000001,0.11794148354480664,0.3333333333333333,9,0,3,0,0
242,244.63524369482292,201.35090508871093,0.05000000000000001,0.10464905916402738,0.5833333333333334,0,0,12,0,0
243,182.96012351383754,200.2975204993519,0.05000000000000001,0.10125573041538398,0.75,0,0,12,0,0
244,199.07753550675017,198.7864975995408,0.05000000000000001,0.09759280985842149,0.8333333333333334,0,0,1,11,0
245,257.7381538351063,199.43522620909738,0.05000000000000001,0.11367460588614146,0.9166666666666666,0,0,0,8,4
246,99.68774317464508,197.1052407045846,0.05000000000000001,0.10442052378008763,0.3333333333333333,0,1,5,4,2
247,168.46279746562908,197.50287699305989,0.05000000000000001,0.10077155552183588,0.4166666666666667,10,0,0,2,0
248,224.0031397666217,193.99111703704455,0.05000000000000001,0.11525873218973477,0.5,0,10,0,2,0
249,130.29019608518584,193.008652788254,0.05000000000000001,0.08766336708019178,0.3333333333333333,0,1,0,2,9
250,224.6831001647794,195.23892614955975,0.05000000000000001,0.09777658898383379,0.5833333333333334,4,0,0,8,0
251,184.08029949385713,197.4847702699542,0.05000000000000001,0.10093055106699467,0.5,3,0,0,9,0
252,321.55954794090303,201.98233477599504,0.05000000000000001,0.09127210018535455,0.8333333333333334,0,1,0,11,0
253,360.7017224826181,205.3750639499004,0.05000000000000001,0.09959220420569181,0.75,0,0,0,12,0
254,259.76778686248053,208.3415983459154,0.05000000000000001,0.09113996444890897,0.8333333333333334,5,0,6,1,0
255,81.40748313042712,208.7409927006314,0.05000000000000001,0.11448039983709653,0.3333333333333333,8,0,0,4,0
256,276.4131077359971,212.06149450358768,0.05000000000000001,0.0847012186422944,0.6666666666666666,0,0,4,8,0
257,159.593413307363,210.76672347474033,0.05000000000000001,0.08496999616424243,0.6666666666666666,0,0,12,0,0
258,229.5093673792386,212.08150575715968,0.05000000000000001,0.08784914234032233,0.6666666666666666,0,0,7,5,0
259,212.5987511381103,214.44604534764437,0.05000000000000001,0.07953672918180625,0.75,1,0,0,11,0
260,387.12494628271224,216.5134178338168,0.05000000000000001,0.0953916988025109,0.75,0,6,0,6,0
261,279.6514749932754,220.78317492472826,0.05000000000000001,0.0970955624555548,0.75,0,0,5,7,0
262,310.44396108080286,221.53999548073534,0.05000000000000001,0.08822830331822236,0.5833333333333334,0,0,11,1,0
